职位,经验,学历要求,薪酬,所在城市,所在区,工作类型1,工作类型2,公司简称,公司全称,公司规模,行业,福利优势,发布时间,职位TAG,公司TAG
Python研发工程师,5-10年,本科,25k-40k,北京,朝阳区,开发/测试/运维类,软件开发,宜信,普信恒业科技发展（北京）有限公司,2000人以上,金融,"发展空间大,技术氛围好,薪资福利好,带薪年假",2018-04-02 14:38:05, 高级 php MySQL, 管理规范 技能培训 扁平管理 弹性工作
python,3-5年,本科,20K-40K,上海,黄浦区,开发/测试/运维类,后端开发,车置宝,江苏车置宝信息科技股份有限公司,500-2000人,"电子商务,移动互联网",期权股票,2018-04-01 21:52:09, 后端开发,
Python研发工程师,5-10年,本科,25k-50k,北京,海淀区,开发/测试/运维类,后端开发,医渡云（北京）技术有限公司,医渡云（北京）技术有限公司,150-500人,"O2O,医疗健康","固定14薪,七险一金,免费三餐,租房补贴",2018-03-31 17:19:12, 资深 高级 中级 后端开发 web, 节日礼物 年底双薪 股票期权 带薪年假
高级python开发工程师-SH415-41509,3-5年,本科,20k-40k,上海,黄浦区,开发/测试/运维类,后端开发,点融,上海点融信息科技有限责任公司,150-500人,金融,"前景好,福利好",2018-04-03 14:56:54, Java web, 节日礼物 带薪年假 岗位晋升 扁平管理
python开发工程师,3-5年,本科,15k-30k,北京,朝阳区,技术,后端开发,融数金服,融数金服（大连）信息服务有限公司北京分工司,150-500人,"金融,数据服务",弹性工作制，助你完美躲过高峰期,2018-04-03 14:16:22, Java golang, 节日礼物 年底双薪 股票期权 带薪年假
高级Python开发工程师,3-5年,本科,25k-50k,上海,黄浦区,开发/测试/运维类,后端开发,musical.ly,蜜柚网络科技（上海）有限公司,150-500人,"社交网络,文化娱乐","大牛带你飞,零食不断,过亿用户",2018-04-03 10:28:45, 社交 后端开发 分布式 redis 架构, 技能培训 节日礼物 股票期权 带薪年假
Python开发师,3-5年,本科,12k-24k,上海,徐汇区,开发/测试/运维类,后端开发,问卷网@爱调研,上海众言网络科技有限公司,150-500人,移动互联网,"五险一金,季度旅游,节日福利,带薪年假",2018-04-02 14:38:16, Java redis 架构, 技能培训 节日礼物 年底双薪 绩效奖金
Python,3-5年,大专,15k-30k,武汉,东湖新技术开发区,开发/测试/运维类,软件开发,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,"牛人团队,薪资高,福利好",2018-04-03 16:16:56, 云计算 软件开发 linux OpenStack, 带薪年假 计算机软件 管理规范 定期体检
Python开发工程师,3-5年,本科,15k-30k,杭州,余杭区,开发/测试/运维类,后端开发,圆通,圆通速递有限公司,2000人以上,"企业服务,数据服务","上市公司,前景好,氛围好,调薪机会多",2018-04-03 12:14:02, 云计算 后端开发 web php Java, 技能培训 免费班车 专项奖金 岗位晋升
python工程师,3-5年,本科,15k-25k,上海,杨浦区,开发/测试/运维类,后端开发,爱回收,上海悦易网络信息技术有限公司,500-2000人,"电子商务,O2O","团队大牛,期权激励,D轮公司,行业独角兽",2018-04-02 20:39:44, 资深 分布式 爬虫, 节日礼物 股票期权 专项奖金 带薪年假
python工程师,1年以下,大专,6k-12k,武汉,硚口区,开发/测试/运维类,后端开发,推想科技,北京推想科技有限公司,50-150人,"医疗健康,数据服务","人工智能,快速成长,弹性工时,年终奖丰厚",2018-03-30 16:32:07, 医疗健康 数据库 运维 实施, 午餐补助 股票期权 定期体检 弹性工作
Python高级开发工程师,1-3年,本科,8k-15k,上海,浦东新区,开发/测试/运维类,后端开发,君学中国,上海真己化人教育科技有限公司,150-500人,文化娱乐,"办公环境好,扁平化管理",2018-03-29 14:50:20, 教育 电商 媒体 php Java, 技能培训 带薪年假 岗位晋升 帅哥多
Python开发工程师,1年以下,大专,4k-6k,广州,天河区,开发/测试/运维类,后端开发,广州玖维信息科技有限公司,广州玖维信息科技有限公司,150-500人,"移动互联网,数据服务","双休,提成,五险一金,带薪休假",2018-04-03 14:25:32, 初级 实习 linux Java, 年底双薪 专项奖金 年终分红 带薪年假
高级python开发工程师,3-5年,本科,15k-20k,深圳,福田区,开发/测试/运维类,后端开发,Gridsum 国双,北京国双科技有限公司,500-2000人,"数据服务,企业服务",大数据上市公司 福利待遇好 发展空间大,2018-04-03 13:49:56, 全栈 GO linux 运维, 年度旅游 节日礼物 年底双薪 带薪年假
高级Python开发工程师,3-5年,本科,20k-40k,北京,朝阳区,开发/测试/运维类,后端开发,果壳网,北京果壳互动科技传媒有限公司,150-500人,"移动互联网,社交网络","八险一金,免费三餐,不加班,弹性工作",2018-04-03 13:03:07, 大数据, 技能培训 年度旅游 岗位晋升 家庭式三餐
中级python工程师,3-5年,本科,15k-25k,北京,东城区,技术,后端开发,家园网,金色家园网络科技有限公司,2000人以上,O2O,绩效奖金 股票期权 14薪,2018-04-02 11:04:41,, 节日礼物 带薪年假 绩效奖金 管理规范
Python开发工程师,1-3年,本科,10k-16k,深圳,南山区,开发/测试/运维类,后端开发,杉岩数据,深圳市杉岩数据技术有限公司,15-50人,"企业服务,数据服务","扁平化管理,发展空间大,产品有竞争,氛围融洽",2018-04-02 09:30:42, 云计算 Java, 股票期权 扁平管理 领导好 五险一金
高级Python开发工程师,3-5年,本科,18k-25k,上海,杨浦区,开发/测试/运维类,后端开发,华云数据,无锡华云数据技术服务有限公司,500-2000人,"移动互联网,数据服务",云计算 高绩效,2018-03-29 10:23:49, 云计算 linux, 节日礼物 带薪年假 岗位晋升 扁平管理
Python开发工程师,1-3年,本科,12k-20k,北京,朝阳区,开发/测试/运维类,后端开发,超对称,超对称（北京）科技有限公司,15-50人,"移动互联网,企业服务","五险一金,每周运动,无限量零食,好老板",2018-03-27 16:13:14, 后端 算法 数据结构, 股票期权 带薪年假 弹性工作 五险一金
Python高级开发工程师,3-5年,本科,16k-22k,深圳,南山区,开发/测试/运维类,后端开发,明源云,深圳市明源云客电子商务有限公司,2000人以上,"移动互联网,企业服务",技术导向，牛人多，氛围赞，扁平管理,2018-04-03 14:18:52, 大数据 Java hadoop, 高额六险一金 年底双薪 绩效奖金 N项经费
Python中级工程师,1-3年,本科,8k-10k,廊坊,广阳区,开发/测试/运维类,后端开发,ZingFront智线,智线云科技（北京）有限公司,50-150人,"移动互联网,数据服务","五险一金,带薪年假,技术成长,晋升空间大",2018-04-02 12:51:14, php 分布式 架构, 绩效奖金 股票期权 带薪年假 弹性工作
Python开发工程师,3-5年,本科,15k-30k,北京,海淀区,开发/测试/运维类,软件开发,知乎,北京智者天下科技有限公司,500-2000人,"移动互联网,社交网络",薪资优厚、氛围宽松、每日三餐、六险一金,2018-04-02 11:43:13, 高级 Java 架构, 年底双薪 股票期权 带薪年假 定期体检
Python工程师,1-3年,本科,10k-20k,北京,海淀区,开发/测试/运维类,后端开发,新东方教育行业研究院,北京点石经纬科技有限公司,150-500人,"移动互联网,教育","待遇好,大牛多,平台好",2018-04-02 09:59:59, 中级 初级 Java 架构, 五险一金 带薪年假 节日礼物 年度旅游
搜狗AI-Python开发工程师,3-5年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,搜狗,北京搜狗科技发展有限公司,2000人以上,"移动互联网,数据服务","AI平台,锻炼价值大",2018-04-02 09:44:14, C++ Java 算法, 岗位晋升 扁平管理 管理规范 精英团队
Python软件开发工程师,1-3年,本科,10k-15k,上海,长宁区,开发/测试/运维类,后端开发,瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,"移动互联网 ,企业服务","五险一金,带薪年假,弹性工作,氛围自由",2018-03-30 20:28:15, linux 后端开发 通信, 高薪 节日礼物 弹性工作 带薪年假
高级Python工程师,3-5年,本科,25k-50k,北京,朝阳区,开发/测试/运维类,后端开发,摩尔妈妈,北京摩尔妈咪网络科技有限公司,15-50人,移动互联网,"技术大牛,0-1项目,技术驱动,创业氛围",2018-04-02 11:56:40, 教育 专家 资深 Java, 年底双薪 股票期权 定期体检 带薪年假
Python开发,3-5年,本科,15k-25k,苏州,工业园区,开发/测试/运维类,后端开发,问卷网@爱调研,上海众言网络科技有限公司,150-500人,移动互联网,"带薪年假,五险一金,期权奖励,定期体检",2018-03-07 20:26:17, 后端开发 全栈 php Java web, 技能培训 节日礼物 年底双薪 绩效奖金
Python开发工程师,1年以下,大专,3k-5k,广州,海珠区,开发/测试/运维类,测试,广州玖维信息科技有限公司,广州玖维信息科技有限公司,150-500人,"移动互联网,数据服务","周末双休,五险一金,节日福利,房补餐补",2018-04-03 17:54:53, 初级 实习 数据分析 Java 测试, 年底双薪 专项奖金 年终分红 带薪年假
高级Python开发工程师,3-5年,本科,15k-25k,深圳,南山区,技术,后端开发,极光,深圳市和讯华谷信息技术有限公司,150-500人,"移动互联网,数据服务",五险一金、14薪/年、下午茶、工作餐等等,2018-04-03 15:24:54, 云计算 linux 云平台 django, 五险一金 文体活动 团建旅游 美味晚餐
Python研发工程师,1-3年,本科,20k-30k,北京,朝阳区,开发/测试/运维类,后端开发,LBE 科技,永杨安风（北京）科技有限公司,50-150人,移动互联网,"海外APP,社/公全额,海外团建,工作居住证",2018-04-03 10:49:14, 移动互联网 广告营销 Java golang, 绩效奖金 专项奖金 带薪年假 节日礼物
Python开发工程师,3-5年,本科,15k-22k,深圳,南山区,开发/测试/运维类,后端开发,回收宝,深圳回收宝科技有限公司,150-500人,"移动互联网,电子商务","腾讯系团队,大牛导师多,发展前景广,薪资待遇好",2018-04-02 10:27:39, 专家 资深 MySQL 后端, 股票期权 城市核心 岗位晋升 腾讯系
Python/Go 运维开发工程师,3-5年,本科,15k-25k,上海,黄浦区,开发/测试/运维类,后端开发,厚本金融,上海厚本金融信息服务有限公司,2000人以上,金融,"技术前沿,优渥待遇,学习成长",2018-04-02 08:58:08, 高级 爬虫 服务器端 自动化, 技能培训 年底双薪 股票期权 带薪年假
高级python工程师,3-5年,大专,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,新东方教育行业研究院,北京点石经纬科技有限公司,150-500人,"移动互联网,教育","平台好,领导好,大牛多",2018-04-02 09:59:58, 自动化 linux Java, 五险一金 带薪年假 节日礼物 年度旅游
高级Java/PHP/Python工程师,3-5年,本科,15k-24k,北京,朝阳区,开发/测试/运维类,软件开发,ZingFront智线,智线云科技（北京）有限公司,50-150人,"移动互联网,数据服务","带薪年假,福利多,办公环境好,氛围自由",2018-04-02 12:51:15, 软件开发 大数据 算法 全栈能力, 绩效奖金 股票期权 带薪年假 弹性工作
Python,3-5年,本科,9k-16k,深圳,福田区,开发/测试/运维类,后端开发,金证股份,深圳市金证科技股份有限公司,2000人以上,金融,"上市公司,办公环境好,薪资福利好,五险一金",2018-03-14 18:36:47, Java 架构 django, 激情的团队 股票期权 努力变大牛 有舞台给您跳
python开发工程师,1-3年,本科,15k-18k,上海,普陀区,开发/测试/运维类,后端开发,MXCHIP,上海庆科信息技术有限公司,150-500人,硬件,发展空间大,2018-04-03 16:06:54, linux Java, 互联网风口 物联网、高新 Wi-Fi 午餐补助
C++、Python 研发工程师,5-10年,本科,15k-20k,广州,萝岗区,开发/测试/运维类,软件开发,飞锡科技,广州飞锡科技有限公司,少于15人,数据服务,"学习机会多,工作自由",2018-04-03 14:55:54, 嵌入式 软件开发 linux,
python高级开发工程师,5-10年,大专,18k-25k,深圳,福田区,开发/测试/运维类,后端开发,掌贝（云移科技）,广州云移信息科技有限公司,500-2000人,"移动互联网,O2O",五险一金 定期培训 年度体检 生日福利,2018-04-03 11:55:43, 电商 Java 架构, 股票期权 岗位晋升 扁平管理 领导好
高级Python开发工程师,5-10年,本科,15k-30k,上海,静安区,开发/测试/运维类,后端开发,狗尾草智能科技,深圳狗尾草智能科技有限公司,150-500人,"移动互联网,O2O","五险一金,年终多薪,车补餐补,项目奖金",2018-04-03 10:28:15, 体育运动 后台, 年底双薪 股票期权 带薪年假 绩效奖金
Python开发工程师（高级）,3-5年,本科,30k-50k,深圳,南山区,开发/测试/运维类,后端开发,Shopee,深圳虾皮信息科技有限公司,2000人以上,电子商务,东南亚跨境电商平台，发展非常迅速，求大牛,2018-04-03 09:58:08, PHP Ruby, 定期体检 通讯津贴 带薪年假 绩效奖金
python研发工程师,5-10年,本科,15k-25k,北京,海淀区,开发/测试/运维类,后端开发,CDS,北京首都在线科技股份有限公司,150-500人,移动互联网,"薪酬福利好,云计算公司",2018-04-03 09:30:05, 云计算 redis 架构, 绩效奖金 通讯津贴 定期体检 带薪年假
103-中级Python开发工程师,3-5年,本科,15k-25k,上海,杨浦区,开发/测试/运维类,后端开发,华云数据,无锡华云数据技术服务有限公司,500-2000人,"移动互联网,数据服务",各项补贴 带薪年病假 弹性上下班,2018-04-03 09:13:02, 云计算 高级 linux, 节日礼物 带薪年假 岗位晋升 扁平管理
Python,3-5年,本科,10k-15k,宁波,江北区,技术,后端开发,新希望软件,宁波新希望信息技术有限公司,50-150人,"企业服务,生活服务",出国机会，上升空间，踏实做事，靠谱,2018-04-02 15:37:04, php Java MySQL 资深 MQ, 技能培训 年底双薪 专项奖金 带薪年假
中级python研发工程师,3-5年,本科,8k-15k,成都,高新区,开发/测试/运维类,后端开发,路行通,成都路行通信息技术有限公司,500-2000人,"移动互联网,生活服务","高绩效奖励,多维度发展,完善福利,人性化管理",2018-04-02 09:45:37, web后端, 年度旅游 岗位晋升 管理规范 定期体检
Python工程师,3-5年,本科,25k-35k,北京,东城区,开发/测试/运维类,后端开发,凡普金科,凡普金科集团有限公司,2000人以上,金融,"六险一金,数据驱动,敏捷开发,行业风口",2018-03-22 10:41:03, 云计算 分布式 redis, 年底双薪 节日礼物 技能培训 带薪年假
python开发工程师,3-5年,本科,20k-36k,北京,海淀区,开发/测试/运维类,后端开发,一亩田,北京一人一亩田网络科技有限公司,150-500人,"移动互联网,电子商务","临近地铁,大牛团队,六险一金,年终奖",2018-04-03 10:42:28, 大数据 数据挖掘 人工智能 算法 挖掘, 节日礼物 年底双薪 专项奖金 股票期权
python开发工程师,3-5年,本科,20k-40k,北京,朝阳区,开发/测试/运维类,软件开发,一览科技,北京一览科技有限公司,150-500人,"移动互联网,文化娱乐",福利优厚,2018-04-03 10:28:15, 视频 资深 高级 中级 软件开发 大数据, 股票期权 弹性工作 领导好 扁平管理
Python 开发工程师,3-5年,不限,14k-28k,北京,朝阳区,开发/测试/运维类,后端开发,磁力信,北京磁力信科技有限公司,15-50人,"教育,移动互联网","项目前景好,技术氛围好,餐补房补,成长基金",2018-04-02 20:21:24, php Java, 带薪年假 成长基金 定期体检 午餐补助
Python开发工程师,3-5年,大专,20k-35k,上海,浦东新区,开发/测试/运维类,后端开发,趣头条,上海基分文化传播有限公司,500-2000人,移动互联网,"平均15薪,餐补,六险一金",2018-04-02 15:47:18, 爬虫, 专项奖金 带薪年假 弹性工作 管理规范
Python程序员,1-3年,大专,6k-8k,徐州,泉山区,开发/测试/运维类,后端开发,徐州灵匠,徐州灵匠信息科技有限公司,50-150人,"移动互联网,企业服务","待遇好,公司旅游",2018-04-02 13:49:44, php MySQL 后端, 90后 80后 自主研发 低保13薪
Python高级开发工程师,3-5年,本科,16k-30k,深圳,福田区,开发/测试/运维类,后端开发,乐格信息,乐格商业咨询（深圳）有限公司,150-500人,"企业服务,数据服务","精英团队,个人成长,外企文化,创业精神",2018-04-02 08:55:40, 后端开发 架构, 节日礼物 技能培训 职业发展预期 岗位晋升
Python开发工程师,1-3年,本科,12k-20k,北京,朝阳区,开发/测试/运维类,后端开发,玖富集团,玖富金科控股集团有限责任公司,2000人以上,金融,"绩效奖金,平台发展好,六险一金,年度体检",2018-04-01 22:22:23, 大数据 人工智能 爬虫, 绩效奖金 免费班车 五险一金 部门旅游
Python开发,1-3年,本科,10k-15k,成都,武侯区,开发/测试/运维类,后端开发,成都肆零肆,成都市肆零肆网络科技有限公司,15-50人,"信息安全,数据服务","双休,六险一金,无限饮料,内部交流",2018-03-30 13:47:25, node.js flask django, 弹性工作 帅哥多 节日礼物 管理规范
Python开发,3-5年,本科,15k-25k,上海,闵行区,开发/测试/运维类,后端开发,果雪科技,上海果雪信息科技有限公司,50-150人,移动互联网,"技术大牛,各类补贴,氛围好,年终奖金",2018-03-26 10:45:21, 云计算 电商 Ruby, 年底双薪 带薪年假 午餐补助 通讯津贴
python开发工程师,1-3年,大专,10k-15k,北京,东城区,开发/测试/运维类,后端开发,北京理享家,北京理享家商务信息咨询有限公司,150-500人,金融,"C轮企业,成熟产品,成长快速,氛围浓厚",2018-03-23 10:09:11, 中级 php Java web, 年底双薪 技能培训 绩效奖金 岗位晋升
python开发工程师,1-3年,本科,10k-20k,北京,海淀区,开发/测试/运维类,后端开发,博云,苏州博纳讯动软件有限公司,150-500人,"移动互联网,企业服务","Linux,pytho,自动化",2018-04-03 15:51:17, linux C++ Java, 凝聚力强 客户群广 发展迅速 团队年轻
资深python开发工程师,5-10年,本科,15k-25k,深圳,福田区,开发/测试/运维类,后端开发,Gridsum 国双,北京国双科技有限公司,500-2000人,"数据服务,企业服务",大数据上市公司 福利待遇好 成长空间大,2018-04-03 13:49:54, 全栈 GO linux 运维, 年度旅游 节日礼物 年底双薪 带薪年假
高级 Python 研发工程师（上海）,3-5年,本科,10k-20k,上海,杨浦区,开发/测试/运维类,后端开发,DAOCLOUD,上海道客网络科技有限公司,150-500人,"企业服务,数据服务","大牛环绕,弹性工作,福利优厚",2018-04-03 10:30:34, 云计算 Java, 工程师文化 业界大牛 改变世界 豪华团队
python工程师,3-5年,本科,15k-25k,上海,徐汇区,开发/测试/运维类,后端开发,上海青客,上海青客公共租赁住房租赁经营管理股份有限公司,500-2000人,"移动互联网,O2O",办公环境，年终奖，晋升,2018-04-02 17:54:28, 云计算 大数据 数据分析 数据挖掘, 技能培训 年底双薪 专项奖金 股票期权
python高级工程师,5-10年,本科,25k-35k,北京,朝阳区,开发/测试/运维类,后端开发,好巧,北京好巧国际旅行社有限公司,150-500人,数据服务,"带薪年假,弹性工作,五险一金,股票期权",2018-04-02 09:32:02,, 五险一金 弹性工作 扁平管理 百万医疗
Python,1-3年,不限,10k-20k,上海,浦东新区,技术,后端开发,现金巴士,微额速达(上海)金融信息服务有限公司,150-500人,"移动互联网,金融","硅谷大神,私厨,五星健身房,弹性制度",2018-03-30 11:36:59, 福利待遇好 团队氛围好, 股票期权 带薪年假 绩效奖金 年终分红
python工程师,1-3年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,猎户星空,北京猎户星空科技有限公司,150-500人,"移动互联网,硬件",大牛云集，人工智能，扁平管理,2018-03-29 11:49:25, linux django, 年度旅游 弹性工作 领导好 五险一金
Python开发／后端软件工程师.,3-5年,本科,20k-30k,上海,虹口区,开发/测试/运维类,后端开发,Juwai,宏居网络技术（上海）有限公司,50-150人,移动互联网,氛围好,2018-04-03 10:18:56, 后端开发 js linux, 带薪年假 岗位晋升 扁平管理 美女多
Python开发工程师,3-5年,本科,18k-35k,北京,朝阳区,开发/测试/运维类,后端开发,闪银奇异,北京闪银奇异科技有限公司,500-2000人,"移动互联网,金融","六险一金,丰厚年终奖,大牛云集,免费自助餐",2018-04-02 10:01:56,, 13~15薪 晋升空间大 定期体检 能力定薪
Python工程师,1-3年,本科,25k-35k,北京,朝阳区,开发/测试/运维类,后端开发,企鹅创新,企鹅创新（北京）科技有限公司,15-50人,"硬件,移动互联网","Djang,主流Web,数据库",2018-04-02 16:06:40, 资深 node.js Java,
Python工程师,1-3年,大专,4k-8k,达州,通川区,开发/测试/运维类,后端开发,四川金垣信息技术服务有限公司,四川金垣信息技术服务有限公司,15-50人,"移动互联网,电子商务","五险,生日福利,绩效奖金,中午包餐",2018-04-02 10:27:36, 爬虫," """""
Python工程师,1-3年,大专,8k-12k,深圳,南山区,开发/测试/运维类,后端开发,柚子街,深圳柚子街科技有限公司,15-50人,"移动互联网,O2O","业界前沿,业绩激励,弹性办公,大牛多",2018-04-01 21:47:00, web 服务器端 自动化 linux Java, 股票期权 带薪年假 年度旅游 扁平管理
python开发工程师,1-3年,本科,20K-40K,杭州,西湖区,开发/测试/运维类,后端开发,蚂蚁金服集团,支付宝(杭州)信息技术有限公司,2000人以上,"金融,移动互联网","高挑战,高回报,高可用领域,未上市",2018-03-31 19:52:46, 云计算 专家 linux golang, 年底双薪 带薪年假 股票期权 绩效奖金
Python开发工程师,5-10年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,新一代互联网旅行社平台,北京撞见旅行国际旅行社有限公司,50-150人,"企业服务,旅游","五险一金,扁平化,补助,弹性",2018-04-03 17:29:26, 广告营销 数据挖掘 算法, 专项奖金 绩效奖金 各种奖金
python程序员,1-3年,大专,6k-12k,泉州,丰泽区,开发/测试/运维类,软件开发,国脉生物,福建国脉生物科技有限公司,50-150人,医疗健康,"前景好,双休,氛围好,人才公寓",2018-04-03 09:27:03, 软件开发 大数据 数据挖掘 算法,
Python开发工程师,1-3年,本科,8k-15k,广州,天河区,开发/测试/运维类,后端开发,海南元游信息,海南元游信息技术有限公司广州分公司,150-500人,游戏,"包餐,加班费,六险一金,绩效奖",2018-04-02 14:34:57, 游戏 中级 爬虫 后端 Node.js, 年终分红 包餐 五险一金 绩效奖金
Python开发工程师,3-5年,本科,15k-25k,北京,海淀区,开发/测试/运维类,后端开发,优识云创,优识云创（北京）科技有限公司,50-150人,移动互联网,"14薪,五险一金,地铁周边,扁平化管理",2018-04-03 15:23:14, 后端开发 php Java, 绩效奖金 股票期权 五险一金 带薪年假
Python软件开发工程师,1年以下,大专,4k-6k,广州,天河区,开发/测试/运维类,软件开发,广州玖维信息科技有限公司,广州玖维信息科技有限公司,150-500人,"移动互联网,数据服务","双休,提成,带薪休假,五险一金",2018-04-03 14:25:32, 初级 实习 linux Java, 年底双薪 专项奖金 年终分红 带薪年假
资深python开发工程师,3-5年,不限,15k-25k,上海,徐汇区,开发/测试/运维类,后端开发,游族网络,上海游族信息技术有限公司,500-2000人,"移动互联网,游戏","工作氛围好,发展空间大,专业培训,各种团建",2018-04-03 14:19:36,, 五险一金 岗位晋升 弹性工作 扁平管理
Python开发工程师(云栖小镇),1-3年,本科,10k-18k,杭州,西湖区,开发/测试/运维类,后端开发,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,"大牛,最新领域,技术,美女",2018-04-03 09:46:25, linux 测试开发, 带薪年假 计算机软件 管理规范 定期体检
Python软件开发工程师,1-3年,本科,13k-18k,深圳,南山区,开发/测试/运维类,后端开发,深信服科技集团,深信服科技股份有限公司,2000人以上,"信息安全,企业服务","福利好,待遇高",2018-04-02 17:21:16, django, 三餐全包 大牛超多 年终奖超多 大公司，稳定
高级Python开发,3-5年,本科,20k-40k,上海,浦东新区,开发/测试/运维类,后端开发,坚果云,上海亦存网络科技有限公司,50-150人,"企业服务,数据服务","薪酬丰厚,扁平化管理,学习平台",2018-03-27 17:13:18, 云计算 Java hadoop 分布式 redis, 技能培训 专项奖金 绩效奖金 扁平管理
Python开发工程师,1-3年,大专,10k-15k,深圳,福田区,开发/测试/运维类,后端开发,新炬网络,上海新炬网络技术有限公司,500-2000人,"移动互联网,数据服务","平台大,发展前景好,五险一金,资深团队",2018-04-03 14:41:53, Java, 技能培训 年底双薪 岗位晋升 年度旅游
高级python开发工程师,1-3年,本科,15k-30k,北京,朝阳区,技术,后端开发,她理财,北京新工场投资顾问有限公司,50-150人,"移动互联网,金融",互联网金融 无天花板 六险一金 期权激励,2018-04-03 10:44:18, golang, 年底双薪 节日礼物 技能培训 绩效奖金
Python开发工程师,3-5年,本科,7k-12k,上海,浦东新区,开发/测试/运维类,后端开发,百硕,百硕同兴科技（北京）有限公司,150-500人,"企业服务,金融","人性化管理,银行,福利健全,领导好",2018-04-03 10:05:52, 大数据 Java, 技能培训 年底双薪 节日礼物 绩效奖金
python开发工程师,3-5年,大专,10k-17k,深圳,南山区,开发/测试/运维类,后端开发,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,"仿真模型,六险一金,节日福利,法定假期",2018-04-03 08:48:19, 高级 中级 大数据 SQL hadoop, 带薪年假 计算机软件 管理规范 定期体检
Python高级研发工程师,3-5年,大专,25k-35k,北京,大兴区,开发/测试/运维类,后端开发,中企动力,中企动力科技股份有限公司,2000人以上,"电子商务,移动互联网",福利待遇 发展前景 技术培训,2018-04-03 16:11:32, php Java, 节日礼物 带薪年假 绩效奖金 岗位晋升
Python 研发工程师,1-3年,本科,12k-24k,武汉,洪山区,开发/测试/运维类,后端开发,青云,北京优帆科技有限公司,150-500人,数据服务,"大牛团队,工程师文化,公司上升期",2018-04-03 11:32:06, 云计算 后端开发 OpenStack, 技能培训 股票期权 带薪年假 绩效奖金
Python开发工程师（上海）,不限,本科,10k-15k,上海,浦东新区,开发/测试/运维类,后端开发,平安科技,平安科技（深圳）有限公司,2000人以上,金融,公司发展前景好，福利待遇好,2018-04-03 09:07:39, 金融 大数据 数据挖掘 算法 数据结构, 节日礼物 年度旅游 岗位晋升 技能培训
python工程师,3-5年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,作业盒子,北京作业盒子科技有限公司,500-2000人,"移动互联网,教育","大平台,技术牛,好前景,核心职位",2018-04-02 19:35:55, 后端开发 爬虫 大数据 数据挖掘, 技能培训 年底双薪 节日礼物 年度旅游
高级/资深 python开发工程师,3-5年,本科,20k-30k,杭州,西湖区,开发/测试/运维类,后端开发,Club Factory,杭州嘉云数据科技有限公司,150-500人,"电子商务,移动互联网","高流量,高并发,技术成长快,世界级产品",2018-04-02 09:52:35,, 海量大数据 世界级产品 AI 智能供应链
高级python工程师,3-5年,本科,25k-40k,北京,海淀区,开发/测试/运维类,后端开发,陪我,博瑞天下（北京)科技有限公司,50-150人,"移动互联网,金融","核心产品,团队氛围好,业务前景大,指导新人",2018-04-03 17:55:14, 信息安全 服务器端 php 架构, 股票期权 扁平管理 美女多 五险一金
Python工程师,1年以下,大专,3k-5k,广州,海珠区,开发/测试/运维类,数据开发,广州玖维信息科技有限公司,广州玖维信息科技有限公司,150-500人,"移动互联网,数据服务","周末双休,五险一金,节日福利,房补餐补",2018-04-03 17:54:53, 初级 实习 算法 图像处理 计算机视觉 人工智能, 年底双薪 专项奖金 年终分红 带薪年假
Python系统开发工程师,1-3年,本科,15k-30k,北京,朝阳区,开发/测试/运维类,后端开发,聚宽 JoinQuant,北京小龙虾科技有限公司,50-150人,"金融,数据服务","六险一金,灵活工作制,技术分享,晋升渠道",2018-04-03 17:28:11, 金融 信息安全 php Java docker, 股票期权 带薪年假 扁平管理 定期体检
服务器开发工程师（nodejs/java/python/go,3-5年,本科,15K-30K,北京,海淀区,开发/测试/运维类,后端开发,竞技世界,竞技世界（北京）网络技术有限公司,500-2000人,"移动互联网,游戏",大牛云集，固定调薪，国内外出游，领导好,2018-04-03 15:19:33, 旅游 后端开发 游戏开发 web, 节日礼物 技能培训 年底双薪 年度旅游
Python,3-5年,本科,12k-24k,北京,海淀区,开发/测试/运维类,后端开发,瓦戈科技,瓦戈科技（上海）有限公司,50-150人,移动互联网,"技术大牛多,五险一金,法定节假日",2018-04-03 14:07:11, 服务端, 节日礼物 年度旅游 岗位晋升 美女多
python高级研发,3-5年,大专,20k-35k,上海,静安区,开发/测试/运维类,后端开发,Vechain,上海唯链信息科技有限公司,50-150人,"移动互联网,信息安全","五险一金,不打卡,免费午餐",2018-04-03 10:00:03, 后端 app django, 弹性工作 五险一金 老司机驾校 年底N薪
Python,1-3年,本科,20k-30k,北京,,技术,后端开发,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司,2000人以上,O2O,核心项目 BI方向 等你来挑战,2018-04-02 15:24:42, 汽车, 带薪年假 弹性工作 免费班车 美女多
